,Nome,Sobrenome,Sexo,CPF,Idade,ID_Produto,Produto,Quantidade,Valor_Unitario,Total_Compra,Imposto_Produto,Cidade,Estado,Pais,Data,Forma_Pagamento
0,José,Sales,Masculino,290.345.876-65,30,09,Cadeira Gamer,2,900.0,1800.0,180.0,Garcia de Goiás,SE,Brasil,2024-11-01,Especie
1,Isabel,Martins,Feminino,725.403.618-62,21,08,HeadSet,3,250.0,750.0,75.0,Rocha de Cunha,PI,Brasil,2024-09-09,Credito
2,Francisco,Fogaça,Masculino,192.734.680-04,26,09,Cadeira Gamer,1,900.0,900.0,90.0,Martins das Flores,RN,Brasil,2024-11-11,Debito
3,Rafael,da Rocha,Masculino,536.084.729-83,19,09,Cadeira Gamer,2,900.0,1800.0,180.0,Melo,SC,Brasil,2024-10-04,Credito
4,Anthony Gabriel,Nunes,Masculino,670.259.814-94,47,04,Impressora,2,800.0,1600.0,160.0,Castro de Aragão,SE,Brasil,2024-08-05,PIX
5,Davi,Melo,Masculino,157.620.983-03,36,04,Impressora,2,800.0,1600.0,160.0,Machado,PB,Brasil,2024-12-21,Credito
6,Bernardo,Ferreira,Masculino,038.516.427-08,46,04,Impressora,1,800.0,800.0,80.0,Barbosa,SC,Brasil,2024-06-18,PIX
7,Pietro,Gonçalves,Masculino,083.715.429-41,36,09,Cadeira Gamer,3,900.0,2700.0,270.0,Melo,SE,Brasil,2024-06-26,PIX
8,Luiz Henrique,Santos,Masculino,375.641.209-16,43,06,Teclado,3,200.0,600.0,60.0,Alves,MS,Brasil,2024-05-09,Credito
9,Yan,Garcia,Masculino,950.417.286-58,37,06,Teclado,1,200.0,200.0,20.0,Machado,AL,Brasil,2024-01-25,Credito
10,Cecilia,Pinto,Feminino,756.308.219-03,36,07,Mouse,3,80.0,240.0,24.0,da Mota,AM,Brasil,2024-02-09,Debito
11,Maria Liz,Dias,Feminino,459.027.318-79,47,06,Teclado,3,200.0,600.0,60.0,Araújo da Praia,RJ,Brasil,2024-06-01,Especie
12,Pietra,Nunes,Feminino,391.647.052-34,45,01,Notebook,3,3500.0,10500.0,1050.0,Duarte de Moura,PB,Brasil,2024-04-13,Credito
13,Davi,Lima,Masculino,461.358.027-71,48,02,Smartphone,3,2000.0,6000.0,600.0,Moreira dos Dourados,SP,Brasil,2024-08-30,PIX
14,Maria Luísa,Sousa,Feminino,708.914.563-84,23,01,Notebook,2,3500.0,7000.0,700.0,Machado,MA,Brasil,2024-06-22,Especie
15,Caleb,Freitas,Masculino,501.826.349-06,40,01,Notebook,1,3500.0,3500.0,350.0,Sales,MA,Brasil,2024-06-16,Credito
16,Lavínia,Montenegro,Feminino,105.327.498-04,60,10,Suporte Monitor,3,150.0,450.0,45.0,Viana Alegre,MT,Brasil,2024-01-31,Credito
17,Emanuella,Fernandes,Feminino,851.470.392-79,34,06,Teclado,2,200.0,400.0,40.0,Ribeiro do Campo,DF,Brasil,2024-07-19,PIX
18,Melissa,Leão,Feminino,289.745.163-73,27,06,Teclado,1,200.0,200.0,20.0,da Cruz de Melo,DF,Brasil,2024-11-26,Debito
19,Eduardo,Almeida,Masculino,620.713.854-62,39,01,Notebook,1,3500.0,3500.0,350.0,Monteiro das Flores,CE,Brasil,2024-05-22,Especie
20,Ana Carolina,Cirino,Feminino,426.351.709-16,30,01,Notebook,1,3500.0,3500.0,350.0,Nunes,AM,Brasil,2024-04-21,Credito
21,Arthur Miguel,Aparecida,Masculino,130.728.459-05,44,09,Cadeira Gamer,1,900.0,900.0,90.0,Aparecida,ES,Brasil,2024-09-27,Debito
22,Vinicius,Costela,Masculino,852.146.907-11,59,08,HeadSet,3,250.0,750.0,75.0,da Rocha da Praia,PA,Brasil,2024-04-24,Debito
23,Nathan,Oliveira,Masculino,798.136.542-28,47,09,Cadeira Gamer,3,900.0,2700.0,270.0,Farias de Martins,DF,Brasil,2024-04-22,PIX
24,Allana,Fogaça,Feminino,894.307.615-01,26,07,Mouse,1,80.0,80.0,8.0,Castro do Oeste,PI,Brasil,2024-11-13,Credito
25,Benjamim,Garcia,Masculino,374.012.965-43,48,08,HeadSet,1,250.0,250.0,25.0,Barros,CE,Brasil,2024-07-28,Credito
26,Emanuelly,Viana,Feminino,473.619.802-87,18,10,Suporte Monitor,2,150.0,300.0,30.0,Pacheco,DF,Brasil,2024-11-11,Especie
27,Danilo,Mendonça,Masculino,906.374.821-31,58,02,Smartphone,2,2000.0,4000.0,400.0,Cavalcanti,PR,Brasil,2024-10-21,Debito
28,Maya,Nunes,Feminino,964.853.127-73,54,10,Suporte Monitor,3,150.0,450.0,45.0,Pereira,CE,Brasil,2024-09-16,Especie
29,Joana,Ribeiro,Feminino,952.608.341-51,41,03,Tablet,3,3000.0,9000.0,900.0,Lima,RS,Brasil,2024-11-23,Debito
30,Ana,Nogueira,Feminino,650.782.914-58,54,04,Impressora,1,800.0,800.0,80.0,Silveira,TO,Brasil,2024-03-24,Especie
31,Yasmin,Campos,Feminino,508.296.713-40,58,04,Impressora,2,800.0,1600.0,160.0,Porto de Nunes,BA,Brasil,2024-07-27,Especie
32,Ana Vitória,da Cruz,Feminino,168.392.570-02,23,01,Notebook,2,3500.0,7000.0,700.0,Fogaça Paulista,AP,Brasil,2024-09-30,Especie
33,João Vitor,Moreira,Masculino,028.351.769-77,58,03,Tablet,3,3000.0,9000.0,900.0,das Neves dos Dourados,PA,Brasil,2024-08-25,Credito
34,Gustavo Henrique,Pires,Masculino,509.732.148-05,50,07,Mouse,1,80.0,80.0,8.0,Nogueira,PI,Brasil,2024-05-11,Debito
35,Maria Alice,Vargas,Feminino,563.829.047-83,57,02,Smartphone,3,2000.0,6000.0,600.0,Leão do Amparo,DF,Brasil,2024-09-20,Especie
36,Arthur,Vasconcelos,Masculino,831.260.947-40,27,04,Impressora,1,800.0,800.0,80.0,Andrade,AC,Brasil,2024-07-19,Credito
37,Heitor,Silveira,Masculino,806.745.391-84,24,03,Tablet,1,3000.0,3000.0,300.0,Rezende,BA,Brasil,2024-04-23,Debito
